算法标注的字图片统计如下：
range_0_85_to_0_90：表示accuracy在[0.85,0.90)区间的个数
range_0_90_to_0_95：表示accuracy在[0.90,0.95)区间的个数
range_0_95_to_1：表示accuracy在[0.95,1]区间的个数

 char  | range_0_85_to_0_90 | range_0_90_to_0_95 | range_0_95_to_1 
  昧   |                196 |                585 |            5605
  然   |                102 |                137 |            5579
  國   |                243 |                510 |            5567
  舍   |               1267 |               2806 |            5534
  教   |                228 |                477 |            5513
  畏   |                109 |                349 |            5479
  竟   |                390 |                927 |            5462
  失   |                 54 |                129 |            5457
  惟   |                152 |                363 |            5400
  又   |                103 |                190 |            5288
  悲   |                 39 |                 72 |            5256
  彼   |               3989 |               7376 |            5255
  殊   |                121 |                292 |            5255
  槃   |                 47 |                 70 |            5252
  長   |                 27 |                 43 |            5229
  尊   |               4800 |               7186 |            5217
  畢   |                116 |                171 |            5215
  示   |                 65 |                153 |            5081
  比   |                 81 |                184 |            5071
  集   |                336 |                703 |            5069
  魔   |                 24 |                 19 |            4903
  求   |               1097 |               2645 |            4832
  散   |                 91 |                180 |            4788
  習   |                191 |                392 |            4764
  合   |                 25 |                 53 |            4671
  福   |                 58 |                115 |            4526
  九   |                  5 |                  8 |            4466
  沙   |                114 |                230 |            4403
  各   |                154 |                410 |            4363
  執   |                121 |                358 |            4325
  火   |                  8 |                 26 |            4277
  壞   |                201 |                343 |            4268
  迴   |                 64 |                125 |            4153
  愛   |                218 |                450 |            4140
  尸   |                 70 |                 83 |            4077
  依   |                733 |               1771 |            4067
  了   |                229 |                979 |            4042
  敬   |                152 |                304 |            4012
  俱   |                 34 |                 81 |            3861
  萬   |                 56 |                100 |            3834
  食   |                 99 |                267 |            3799
  士   |                 35 |                 59 |            3778
  極   |                115 |                304 |            3767
  億   |                 13 |                 26 |            3735
  弗   |                 36 |                 62 |            3701
  取   |                969 |               2548 |            3696
  伽   |                 24 |                 71 |            3691
  況   |                 13 |                 31 |            3654
  憍   |                248 |                518 |            3651
  動   |                131 |                293 |            3649
  剎   |                 19 |                 35 |            3598
  預   |                 22 |                 32 |            3582
  莊   |                180 |                352 |            3572
  餘   |                192 |                484 |            3556
  數   |                932 |               2297 |            3544
  妄   |                 47 |                 95 |            3497
  重   |                 75 |                157 |            3471
  稱   |                 34 |                 54 |            3458
  斯   |                 92 |                183 |            3456
  花   |                 32 |                 64 |            3440
  屬   |                 92 |                167 |            3432
  用   |                  5 |                 17 |            3422
  海   |                 19 |                 26 |            3379
  最   |                174 |                337 |            3378
  歡   |                 21 |                 56 |            3362
  聽   |                160 |                362 |            3350
  風   |                 50 |                164 |            3349
  漏   |                 13 |                 20 |            3347
  家   |                121 |                240 |            3332
  願   |               2461 |               4436 |            3242
  染   |                120 |                246 |            3218
  趣   |                799 |               1874 |            3212
  耨   |                176 |                324 |            3193
  觀   |               3042 |               5141 |            3109
  微   |                195 |                440 |            3095
  閒   |               1853 |               3248 |            3054
  經   |               1432 |               2586 |            3046
  益   |                138 |                294 |            3044
  退   |                477 |               1056 |            3039
  華   |                272 |                456 |            3026
  煩   |                226 |                496 |            2980
  和   |                 15 |                 34 |            2960
  藏   |                309 |                541 |            2958
  罪   |                 58 |                141 |            2932
  禮   |                 22 |                 44 |            2917
  土   |                572 |               1793 |            2880
  量   |               4264 |               5838 |            2860
  好   |                 29 |                 64 |            2840
  梵   |                438 |               1163 |            2832
  僧   |                177 |                333 |            2804
  慧   |               1974 |               3234 |            2803
  尚   |                 75 |                173 |            2788
  類   |                 65 |                139 |            2774
  老   |                119 |                314 |            2755
  恭   |                 44 |                125 |            2747
  丘   |                379 |               1443 |            2731
  但   |                 26 |                 44 |            2705
  唯   |                204 |                343 |            2693
  城   |                 54 |                 88 |            2658
  樹   |                104 |                208 |            2650
  龍   |                237 |                511 |            2647
  恒   |                763 |               1387 |            2638
  譬   |                289 |                565 |            2637
  縛   |                 13 |                 24 |            2618
  命   |                452 |               1003 |            2617
  垢   |                 31 |                 82 |            2616
  彌   |                  9 |                 19 |            2604
  衣   |                 26 |                 46 |            2586
  問   |                653 |               1759 |            2554
  首   |                 11 |                 18 |            2542
  劫   |                531 |               1161 |            2536
  報   |                 75 |                177 |            2503
  境   |                 47 |                106 |            2471
  日   |                511 |               1467 |            2399
  止   |                  9 |                 14 |            2348
  護   |                853 |               1625 |            2318
  度   |                694 |               1645 |            2308
  夫   |                242 |                664 |            2282
  流   |                879 |               1603 |            2272
  少   |                 82 |                200 |            2256
  近   |                 21 |                 60 |            2247
  塵   |                 91 |                156 |            2232
